import time: self [us] | cumulative | imported package
import time:      2312 |       3991 |       django.core.checks.compatibility.django_4_0
import time:      1918 |       1918 |           django.db.utils
import time:      1871 |       3788 |         django.db
import time:      1763 |       5551 |       django.core.checks.database
import time:     17223 |      17223 |       django.core.checks.files
import time:      4399 |       4399 |       django.core.checks.model_checks
import time:      1775 |       1775 |         django.core.checks.security
import time:     11811 |      13586 |       django.core.checks.security.base
import time:      4260 |       4260 |       django.core.checks.security.csrf
import time:     16794 |      16794 |       django.core.checks.security.sessions
import time:      2166 |       2166 |       django.core.checks.templates
import time:      4985 |       4985 |               numbers
import time:      3219 |       8204 |             _decimal
import time:      3917 |      12120 |           decimal
import time:       562 |        562 |             termios
import time:      1624 |       1624 |             pywatchman
import time:      3710 |       5895 |           django.utils.autoreload
import time:      3243 |      21257 |         django.utils.translation
import time:      4067 |       4067 |           django.conf.locale
import time:      1826 |       1826 |           django.utils.safestring
import time:      3670 |       9561 |         django.utils.translation.trans_real
import time:      3215 |      34033 |       django.core.checks.translation
import time:      3409 |       3409 |       django.core.checks.urls
import time:     23417 |     321040 |     django.core.checks
import time:      1298 |       1298 |       django.utils.termcolors
import time:       521 |        521 |       colorama
import time:      4805 |       6622 |     django.core.management.color
import time:      9481 |     337143 |   django.core.management.base
import time:      9971 |    2903839 | django.core.management
import time:      5614 |       5614 |       urllib
import time:      4352 |       4352 |       ipaddress
import time:      9129 |      19093 |     urllib.parse
import time:      5234 |       5234 |         http
import time:      4478 |       4478 |         http.cookies
import time:      6037 |      15748 |       django.http.cookie
import time:       189 |        189 |                 _json
import time:      4956 |       5145 |               json.scanner
import time:      3931 |       9075 |             json.decoder
import time:      5446 |       5446 |             json.encoder
import time:      8316 |      22836 |           json
import time:       186 |        186 |               _hmac
import time:      1900 |       2086 |             hmac
import time:      4561 |       4561 |             secrets
import time:      2057 |       2057 |             django.utils.encoding
import time:     32238 |      40940 |           django.utils.crypto
import time:     33106 |      96881 |         django.core.signing
import time:      4734 |       4734 |             django.core.files.temp
import time:      2048 |       6782 |           django.core.files.uploadedfile
